ano,ubigeo,departamento,provincia,distrito,tipo_municipalidad,serenazgo_2024,serenazgo_2025,p69_2_t,p69_2_m,p69_2_h,tiene_auto_camioneta,p70a_1_1,p70a_1_2,p70a_1_3,tiene_radio,p70a_6_1,p70a_6_2,p70a_6_3,tiene_camaras,p70a_7_1,p70a_7_2,p70a_7_3,p70a_7_4,tiene_central_videovigilancia,p70a_10_1,p70a_10_2,p70a_10_3,tiene_chaleco_antibalas,p70a_13_1,total_intervenciones
2025,010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010707,AMAZONAS,UTCUBAMBA,YAMON,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020101,ANCASH,HUARAZ,HUARAZ,Provincial,Sí,Sí,98,32,66,Sí,5,5,0,Sí,40,15,25,Sí,56,29,27,0,Sí,1,1,0,Sí,10,664
2025,020102,ANCASH,HUARAZ,COCHABAMBA,Distrital,Sí,Sí,6,2,4,No,NA,NA,NA,Sí,8,4,4,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,6
2025,020103,ANCASH,HUARAZ,COLCABAMBA,Distrital,Sí,Sí,2,0,2,Sí,1,1,0,No,NA,NA,NA,Sí,2,2,0,2,No,NA,NA,NA,No,NA,10
2025,020104,ANCASH,HUARAZ,HUANCHAY,Distrital,Sí,Sí,8,1,7,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,2
2025,020105,ANCASH,HUARAZ,INDEPENDENCIA,Distrital,Sí,Sí,37,5,32,Sí,4,4,0,Sí,37,37,0,Sí,50,45,5,0,Sí,1,1,0,No,NA,2790
2025,020106,ANCASH,HUARAZ,JANGAS,Distrital,Sí,Sí,6,1,5,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,29
2025,020107,ANCASH,HUARAZ,LA LIBERTAD,Distrital,Sí,Sí,6,0,6,No,NA,NA,NA,No,NA,NA,NA,Sí,5,4,1,0,No,NA,NA,NA,No,NA,6
2025,020108,ANCASH,HUARAZ,OLLEROS,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,3,3,0,3,No,NA,NA,NA,No,NA,0
2025,020109,ANCASH,HUARAZ,PAMPAS GRANDE,Distrital,Sí,Sí,3,1,2,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,3
2025,020110,ANCASH,HUARAZ,PARIACOTO,Distrital,Sí,Sí,15,5,10,No,NA,NA,NA,Sí,10,0,10,Sí,2,2,0,0,Sí,1,1,0,No,NA,28
2025,020111,ANCASH,HUARAZ,PIRA,Distrital,Sí,Sí,5,0,5,No,NA,NA,NA,No,NA,NA,NA,Sí,2,1,1,0,No,NA,NA,NA,No,NA,40
2025,020112,ANCASH,HUARAZ,TARICA,Distrital,Sí,Sí,13,3,10,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Sí,3,19
2025,020201,ANCASH,AIJA,AIJA,Provincial,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020202,ANCASH,AIJA,CORIS,Distrital,Sí,Sí,3,0,3,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,10
2025,020203,ANCASH,AIJA,HUACLLAN,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020204,ANCASH,AIJA,LA MERCED,Distrital,Sí,Sí,1,0,1,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020205,ANCASH,AIJA,SUCCHA,Distrital,Sí,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,2,2,0,2,No,NA,NA,NA,No,NA,0
2025,020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,Provincial,Sí,Sí,7,0,7,No,NA,NA,NA,No,NA,NA,NA,Sí,3,3,0,0,No,NA,NA,NA,No,NA,6
2025,020302,ANCASH,ANTONIO RAYMONDI,ACZO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,Distrital,Sí,Sí,2,0,2,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,Distrital,Sí,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,1
2025,020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,Distrital,Sí,Sí,2,1,1,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,Distrital,No,No,NA,NA,NA,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020401,ANCASH,ASUNCION,CHACAS,Provincial,Sí,Sí,6,0,6,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,12
2025,020402,ANCASH,ASUNCION,ACOCHACA,Distrital,Sí,Sí,4,0,4,No,NA,NA,NA,Sí,4,4,0,Sí,1,1,0,0,No,NA,NA,NA,No,NA,3
2025,020501,ANCASH,BOLOGNESI,CHIQUIAN,Provincial,Sí,Sí,3,0,3,No,NA,NA,NA,Sí,2,1,1,Sí,28,14,14,0,Sí,1,1,0,Sí,3,29
2025,020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,Distrital,Sí,Sí,1,0,1,No,NA,NA,NA,No,NA,NA,NA,Sí,4,2,2,0,Sí,2,1,1,No,NA,2
2025,020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020504,ANCASH,BOLOGNESI,AQUIA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020505,ANCASH,BOLOGNESI,CAJACAY,Distrital,Sí,Sí,2,0,2,Sí,2,2,0,Sí,4,4,0,Sí,5,5,0,0,Sí,1,1,0,No,NA,8
2025,020506,ANCASH,BOLOGNESI,CANIS,Distrital,Sí,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,2
2025,020507,ANCASH,BOLOGNESI,COLQUIOC,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020508,ANCASH,BOLOGNESI,HUALLANCA,Distrital,Sí,Sí,11,2,9,Sí,1,1,0,Sí,34,17,17,Sí,8,4,4,0,No,NA,NA,NA,No,NA,30
2025,020509,ANCASH,BOLOGNESI,HUASTA,Distrital,No,No,NA,NA,NA,Sí,1,1,0,No,NA,NA,NA,Sí,4,4,0,4,No,NA,NA,NA,No,NA,0
2025,020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,Distrital,Sí,Sí,3,1,2,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,020511,ANCASH,BOLOGNESI,LA PRIMAVERA,Distrital,Sí,Sí,2,1,1,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,7
2025,020512,ANCASH,BOLOGNESI,MANGAS,Distrital,Sí,Sí,1,0,1,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,1
2025,020513,ANCASH,BOLOGNESI,PACLLON,Distrital,No,Sí,2,0,2,No,NA,NA,NA,Sí,1,1,0,Sí,1,1,0,0,Sí,1,1,0,No,NA,0
