ubigeo,llave_distrito,dpto_hecho_new,prov_hecho,dist_hecho,denuncias_2024_2026,vehiculos_pnp,vehiculos_operativos,comisarias
020107,ANCASH|HUARAZ|LA LIBERTAD,ANCASH,HUARAZ,LA LIBERTAD,15,0,0,0
020108,ANCASH|HUARAZ|OLLEROS,ANCASH,HUARAZ,OLLEROS,6,0,0,0
020109,ANCASH|HUARAZ|PAMPAS,ANCASH,HUARAZ,PAMPAS,17,0,0,0
020110,ANCASH|HUARAZ|PARIACOTO,ANCASH,HUARAZ,PARIACOTO,100,1,1,1
020111,ANCASH|HUARAZ|PIRA,ANCASH,HUARAZ,PIRA,120,2,1,1
020112,ANCASH|HUARAZ|TARICA,ANCASH,HUARAZ,TARICA,307,10,7,1
020201,ANCASH|AIJA|AIJA,ANCASH,AIJA,AIJA,101,4,2,1
020202,ANCASH|AIJA|CORIS,ANCASH,AIJA,CORIS,26,0,0,0
020203,ANCASH|AIJA|HUACLLAN,ANCASH,AIJA,HUACLLAN,4,0,0,0
020204,ANCASH|AIJA|LA MERCED,ANCASH,AIJA,LA MERCED,31,0,0,0
020205,ANCASH|AIJA|SUCCHA,ANCASH,AIJA,SUCCHA,11,0,0,0
020301,ANCASH|ANTONIO RAYMONDI|LLAMELLIN,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,225,4,1,1
020302,ANCASH|ANTONIO RAYMONDI|ACZO,ANCASH,ANTONIO RAYMONDI,ACZO,7,0,0,0
020303,ANCASH|ANTONIO RAYMONDI|CHACCHO,ANCASH,ANTONIO RAYMONDI,CHACCHO,2,0,0,0
020304,ANCASH|ANTONIO RAYMONDI|CHINGAS,ANCASH,ANTONIO RAYMONDI,CHINGAS,7,0,0,0
020305,ANCASH|ANTONIO RAYMONDI|MIRGAS,ANCASH,ANTONIO RAYMONDI,MIRGAS,10,0,0,0
020306,ANCASH|ANTONIO RAYMONDI|SAN JUAN DE RONTOY,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,2,0,0,0
020401,ANCASH|ASUNCION|CHACAS,ANCASH,ASUNCION,CHACAS,207,3,2,1
020402,ANCASH|ASUNCION|ACOCHACA,ANCASH,ASUNCION,ACOCHACA,31,0,0,0
020501,ANCASH|BOLOGNESI|CHIQUIAN,ANCASH,BOLOGNESI,CHIQUIAN,349,7,3,1
020502,ANCASH|BOLOGNESI|ABELARDO PARDO LEZAMETA,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,5,0,0,0
020503,ANCASH|BOLOGNESI|ANTONIO RAYMONDI,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,15,2,2,0
020504,ANCASH|BOLOGNESI|AQUIA,ANCASH,BOLOGNESI,AQUIA,63,0,0,0
020505,ANCASH|BOLOGNESI|CAJACAY,ANCASH,BOLOGNESI,CAJACAY,61,2,1,1
020506,ANCASH|BOLOGNESI|CANIS,ANCASH,BOLOGNESI,CANIS,2,0,0,0
020507,ANCASH|BOLOGNESI|COLQUIOC,ANCASH,BOLOGNESI,COLQUIOC,148,8,4,1
020508,ANCASH|BOLOGNESI|HUALLANCA,ANCASH,BOLOGNESI,HUALLANCA,271,1,0,1
020509,ANCASH|BOLOGNESI|HUASTA,ANCASH,BOLOGNESI,HUASTA,46,0,0,0
020510,ANCASH|BOLOGNESI|HUAYLLACAYAN,ANCASH,BOLOGNESI,HUAYLLACAYAN,3,0,0,0
020511,ANCASH|BOLOGNESI|LA PRIMAVERA,ANCASH,BOLOGNESI,LA PRIMAVERA,3,0,0,0
020512,ANCASH|BOLOGNESI|MANGAS,ANCASH,BOLOGNESI,MANGAS,2,0,0,0
020513,ANCASH|BOLOGNESI|PACLLON,ANCASH,BOLOGNESI,PACLLON,8,0,0,0
020514,ANCASH|BOLOGNESI|SAN MIGUEL DE CORPANQUI,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,6,0,0,0
020515,ANCASH|BOLOGNESI|TICLLOS,ANCASH,BOLOGNESI,TICLLOS,12,0,0,0
020601,ANCASH|CARHUAZ|CARHUAZ,ANCASH,CARHUAZ,CARHUAZ,1538,5,2,1
020602,ANCASH|CARHUAZ|ACOPAMPA,ANCASH,CARHUAZ,ACOPAMPA,69,0,0,0
020603,ANCASH|CARHUAZ|AMASHCA,ANCASH,CARHUAZ,AMASHCA,23,0,0,0
020604,ANCASH|CARHUAZ|ANTA,ANCASH,CARHUAZ,ANTA,277,3,2,1
020605,ANCASH|CARHUAZ|ATAQUERO,ANCASH,CARHUAZ,ATAQUERO,8,0,0,0
020606,ANCASH|CARHUAZ|MARCARA,ANCASH,CARHUAZ,MARCARA,253,2,1,1
020607,ANCASH|CARHUAZ|PARIAHUANCA,ANCASH,CARHUAZ,PARIAHUANCA,9,0,0,0
020608,ANCASH|CARHUAZ|SAN MIGUEL DE ACO,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,10,0,0,0
020609,ANCASH|CARHUAZ|SHILLA,ANCASH,CARHUAZ,SHILLA,33,0,0,0
020610,ANCASH|CARHUAZ|TINCO,ANCASH,CARHUAZ,TINCO,101,0,0,0
020611,ANCASH|CARHUAZ|YUNGAR,ANCASH,CARHUAZ,YUNGAR,129,0,0,0
020701,ANCASH|CARLOS FERMIN FITZCARRALD|SAN LUIS,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,395,1,1,1
020702,ANCASH|CARLOS FERMIN FITZCARRALD|SAN NICOLAS,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,5,0,0,0
