AÑO,MES,UBIGEO,NOMBDEPTO,NOMBPROV,NOMBDIST,TIPO_VEHICULO,TIPO_UNIDAD,TIPO_VEHICULO_PRIO,TIPO_PROCEDENCIA,ESTADO,AÑOFABRICACION,CANTIDAD
2025,JULIO,40705,AREQUIPA,ISLAY,MEJIA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,AUTO,UNIDAD ESPECIALIZADA,AUTO,AFECTACION EN USO,OPERATIVO,2018,1
2025,JULIO,61107,CAJAMARCA,SAN MIGUEL,LLAPA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2012,1
2025,JULIO,110101,ICA,ICA,ICA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,OFECOD,OPERATIVO,2008,1
2025,JULIO,70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2016,25
2025,JULIO,150601,REGIÓN LIMA,HUARAL,HUARAL,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,OPERATIVO,2022,2
2025,JULIO,50201,AYACUCHO,CANGALLO,CANGALLO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,80601,CUSCO,CANCHIS,SICUANI,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2009,1
2025,JULIO,70102,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2017,2
2025,JULIO,40107,AREQUIPA,AREQUIPA,JACOBO HUNTER,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
