ubigeo,dpto_hecho_new,prov_hecho,dist_hecho,indicador,valor
010507,AMAZONAS,LUYA,LONGUITA,denuncias_2024_2026,10
010507,AMAZONAS,LUYA,LONGUITA,vehiculos_pnp,0
010507,AMAZONAS,LUYA,LONGUITA,vehiculos_operativos,0
010507,AMAZONAS,LUYA,LONGUITA,comisarias,0
010508,AMAZONAS,LUYA,LONYA CHICO,denuncias_2024_2026,6
010508,AMAZONAS,LUYA,LONYA CHICO,vehiculos_pnp,0
010508,AMAZONAS,LUYA,LONYA CHICO,vehiculos_operativos,0
010508,AMAZONAS,LUYA,LONYA CHICO,comisarias,0
010509,AMAZONAS,LUYA,LUYA,denuncias_2024_2026,245
010509,AMAZONAS,LUYA,LUYA,vehiculos_pnp,4
010509,AMAZONAS,LUYA,LUYA,vehiculos_operativos,0
010509,AMAZONAS,LUYA,LUYA,comisarias,1
010510,AMAZONAS,LUYA,LUYA VIEJO,denuncias_2024_2026,14
010510,AMAZONAS,LUYA,LUYA VIEJO,vehiculos_pnp,0
010510,AMAZONAS,LUYA,LUYA VIEJO,vehiculos_operativos,0
010510,AMAZONAS,LUYA,LUYA VIEJO,comisarias,0
010511,AMAZONAS,LUYA,MARIA,denuncias_2024_2026,14
010511,AMAZONAS,LUYA,MARIA,vehiculos_pnp,0
010511,AMAZONAS,LUYA,MARIA,vehiculos_operativos,0
010511,AMAZONAS,LUYA,MARIA,comisarias,0
010512,AMAZONAS,LUYA,OCALLI,denuncias_2024_2026,102
010512,AMAZONAS,LUYA,OCALLI,vehiculos_pnp,1
010512,AMAZONAS,LUYA,OCALLI,vehiculos_operativos,1
010512,AMAZONAS,LUYA,OCALLI,comisarias,1
010513,AMAZONAS,LUYA,OCUMAL,denuncias_2024_2026,99
010513,AMAZONAS,LUYA,OCUMAL,vehiculos_pnp,0
010513,AMAZONAS,LUYA,OCUMAL,vehiculos_operativos,0
010513,AMAZONAS,LUYA,OCUMAL,comisarias,2
010514,AMAZONAS,LUYA,PISUQUIA,denuncias_2024_2026,34
010514,AMAZONAS,LUYA,PISUQUIA,vehiculos_pnp,0
010514,AMAZONAS,LUYA,PISUQUIA,vehiculos_operativos,0
010514,AMAZONAS,LUYA,PISUQUIA,comisarias,0
010515,AMAZONAS,LUYA,PROVIDENCIA,denuncias_2024_2026,37
010515,AMAZONAS,LUYA,PROVIDENCIA,vehiculos_pnp,0
010515,AMAZONAS,LUYA,PROVIDENCIA,vehiculos_operativos,0
010515,AMAZONAS,LUYA,PROVIDENCIA,comisarias,0
010516,AMAZONAS,LUYA,SAN CRISTOBAL,denuncias_2024_2026,14
010516,AMAZONAS,LUYA,SAN CRISTOBAL,vehiculos_pnp,0
010516,AMAZONAS,LUYA,SAN CRISTOBAL,vehiculos_operativos,0
010516,AMAZONAS,LUYA,SAN CRISTOBAL,comisarias,0
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,denuncias_2024_2026,9
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,vehiculos_pnp,0
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,vehiculos_operativos,0
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,comisarias,0
010518,AMAZONAS,LUYA,SAN JERONIMO,denuncias_2024_2026,13
010518,AMAZONAS,LUYA,SAN JERONIMO,vehiculos_pnp,0
010518,AMAZONAS,LUYA,SAN JERONIMO,vehiculos_operativos,0
010518,AMAZONAS,LUYA,SAN JERONIMO,comisarias,0
010520,AMAZONAS,LUYA,SANTA CATALINA,denuncias_2024_2026,18
010520,AMAZONAS,LUYA,SANTA CATALINA,vehiculos_pnp,0
010520,AMAZONAS,LUYA,SANTA CATALINA,vehiculos_operativos,0
010520,AMAZONAS,LUYA,SANTA CATALINA,comisarias,0
010521,AMAZONAS,LUYA,SANTO TOMAS,denuncias_2024_2026,46
010521,AMAZONAS,LUYA,SANTO TOMAS,vehiculos_pnp,1
010521,AMAZONAS,LUYA,SANTO TOMAS,vehiculos_operativos,1
010521,AMAZONAS,LUYA,SANTO TOMAS,comisarias,1
010522,AMAZONAS,LUYA,TINGO,denuncias_2024_2026,101
010522,AMAZONAS,LUYA,TINGO,vehiculos_pnp,2
010522,AMAZONAS,LUYA,TINGO,vehiculos_operativos,0
010522,AMAZONAS,LUYA,TINGO,comisarias,1
010523,AMAZONAS,LUYA,TRITA,denuncias_2024_2026,17
010523,AMAZONAS,LUYA,TRITA,vehiculos_pnp,0
010523,AMAZONAS,LUYA,TRITA,vehiculos_operativos,0
010523,AMAZONAS,LUYA,TRITA,comisarias,0
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,denuncias_2024_2026,605
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,vehiculos_pnp,3
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,vehiculos_operativos,3
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,comisarias,1
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,denuncias_2024_2026,35
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,vehiculos_pnp,2
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,vehiculos_operativos,1
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,comisarias,0
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,denuncias_2024_2026,11
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,vehiculos_pnp,0
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,vehiculos_operativos,0
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,comisarias,0
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,denuncias_2024_2026,108
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,vehiculos_pnp,2
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,vehiculos_operativos,0
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,comisarias,1
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,denuncias_2024_2026,78
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,vehiculos_pnp,0
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,vehiculos_operativos,0
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,comisarias,1
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,denuncias_2024_2026,103
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,vehiculos_pnp,1
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,vehiculos_operativos,1
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,comisarias,1
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,denuncias_2024_2026,37
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,vehiculos_pnp,0
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,vehiculos_operativos,0
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,comisarias,0
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,denuncias_2024_2026,4
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,vehiculos_pnp,0
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,vehiculos_operativos,0
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,comisarias,0
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,denuncias_2024_2026,188
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,vehiculos_pnp,0
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,vehiculos_operativos,0
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,comisarias,1
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,denuncias_2024_2026,37
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,vehiculos_pnp,1
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,vehiculos_operativos,0
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,comisarias,1
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,denuncias_2024_2026,5
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,vehiculos_pnp,0
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,vehiculos_operativos,0
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,comisarias,0
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,denuncias_2024_2026,23
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,vehiculos_pnp,0
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,vehiculos_operativos,0
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,comisarias,0
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,denuncias_2024_2026,5507
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,vehiculos_pnp,23
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,vehiculos_operativos,13
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,comisarias,1
010702,AMAZONAS,UTCUBAMBA,CAJARURO,denuncias_2024_2026,865
010702,AMAZONAS,UTCUBAMBA,CAJARURO,vehiculos_pnp,1
010702,AMAZONAS,UTCUBAMBA,CAJARURO,vehiculos_operativos,1
010702,AMAZONAS,UTCUBAMBA,CAJARURO,comisarias,1
010703,AMAZONAS,UTCUBAMBA,CUMBA,denuncias_2024_2026,205
010703,AMAZONAS,UTCUBAMBA,CUMBA,vehiculos_pnp,6
010703,AMAZONAS,UTCUBAMBA,CUMBA,vehiculos_operativos,5
010703,AMAZONAS,UTCUBAMBA,CUMBA,comisarias,2
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,denuncias_2024_2026,332
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,vehiculos_pnp,1
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,vehiculos_operativos,0
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,comisarias,1
010705,AMAZONAS,UTCUBAMBA,JAMALCA,denuncias_2024_2026,126
010705,AMAZONAS,UTCUBAMBA,JAMALCA,vehiculos_pnp,1
010705,AMAZONAS,UTCUBAMBA,JAMALCA,vehiculos_operativos,0
010705,AMAZONAS,UTCUBAMBA,JAMALCA,comisarias,2
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,denuncias_2024_2026,432
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,vehiculos_pnp,1
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,vehiculos_operativos,1
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,comisarias,1
010707,AMAZONAS,UTCUBAMBA,YAMON,denuncias_2024_2026,32
010707,AMAZONAS,UTCUBAMBA,YAMON,vehiculos_pnp,0
010707,AMAZONAS,UTCUBAMBA,YAMON,vehiculos_operativos,0
010707,AMAZONAS,UTCUBAMBA,YAMON,comisarias,0
020101,ANCASH,HUARAZ,HUARAZ,denuncias_2024_2026,8576
020101,ANCASH,HUARAZ,HUARAZ,vehiculos_pnp,198
020101,ANCASH,HUARAZ,HUARAZ,vehiculos_operativos,79
020101,ANCASH,HUARAZ,HUARAZ,comisarias,3
020102,ANCASH,HUARAZ,COCHABAMBA,denuncias_2024_2026,6
020102,ANCASH,HUARAZ,COCHABAMBA,vehiculos_pnp,0
020102,ANCASH,HUARAZ,COCHABAMBA,vehiculos_operativos,0
020102,ANCASH,HUARAZ,COCHABAMBA,comisarias,0
020103,ANCASH,HUARAZ,COLCABAMBA,denuncias_2024_2026,3
020103,ANCASH,HUARAZ,COLCABAMBA,vehiculos_pnp,0
020103,ANCASH,HUARAZ,COLCABAMBA,vehiculos_operativos,0
020103,ANCASH,HUARAZ,COLCABAMBA,comisarias,0
020104,ANCASH,HUARAZ,HUANCHAY,denuncias_2024_2026,3
020104,ANCASH,HUARAZ,HUANCHAY,vehiculos_pnp,0
020104,ANCASH,HUARAZ,HUANCHAY,vehiculos_operativos,0
020104,ANCASH,HUARAZ,HUANCHAY,comisarias,0
020105,ANCASH,HUARAZ,INDEPENDENCIA,denuncias_2024_2026,2175
020105,ANCASH,HUARAZ,INDEPENDENCIA,vehiculos_pnp,5
