ID;Nº DE INGRESOS;DELITO GENERICO;DELITO ESPECÍFICO;SITUACION JURIDICA;EDAD;SEXO;PAIS;ESTADO CIVIL;GRADO DE INSTRUCCIÓN;OCUPACION GENERICO;OCUPACION ESPECIFICO;NOMBRE DEL PENAL;DEPARTAMENTO;OFICINA REGIONAL;MES;CONTINENTE
36583;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;40;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;OBREROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36584;1;DELITOS CONTRA EL PATRIMONIO;HURTO AGRAVADO;SENTENCIADO;34;MASCULINO;PERÚ;SOLTERO;ANALFABETO;OFICIOS;OBREROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36585;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;57;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36586;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;30;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36587;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;35;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36588;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;29;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36589;1;DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD;HOMICIDIO CALIFICADO - ASESINATO;PROCESADO;27;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36590;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;23;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;ESTUDIANTES;ESTUDIANTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36591;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;28;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36592;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;37;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
