id,edad,ingresos,sexo,delito_generico,situacion_juridica,departamento,nombre_del_penal,cluster_kmeans
166,45,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
167,36,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
168,46,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
169,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
170,44,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
171,42,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
172,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
173,47,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,4
174,71,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
175,37,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
176,35,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
177,24,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
178,38,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
179,51,1,Masculino,DELITOS CONTRA LA DIGNIDAD HUMANA,Procesado,Tumbes,E.P. DE TUMBES,4
180,41,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
181,31,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
182,45,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,3
183,27,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
184,41,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
185,47,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
186,50,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,4
187,54,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
188,27,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
189,32,1,Masculino,DELITOS CONTRA LA FAMILIA,Sentenciado,Tumbes,E.P. DE TUMBES,1
190,38,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
191,58,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
192,33,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
193,25,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
194,21,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
195,25,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
196,32,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
197,43,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
198,59,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
199,57,1,Masculino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,4
200,44,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,4
201,67,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
202,29,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
203,45,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
204,29,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
205,31,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
206,51,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
207,45,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
208,39,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
209,50,2,Masculino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
210,25,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
211,31,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
212,50,6,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,2
213,57,4,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,3
214,33,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
